Theft Year,State,Rank,Make/Model,Model Year,Thefts,
2015,Virginia,8,Ford Explorer,2002,119,
2015,Virginia,9,Jeep Cherokee/Grand Cherokee,2001,107,
2015,Virginia,10,Chevrolet Impala,2006,105,
2015,Washington,1,Honda Accord,1996,"3,757",
2015,Washington,2,Honda Civic,1998,"3,113",
2015,Washington,3,Ford Pickup (Full Size),2004,745,
2015,Washington,4,Acura Integra,1994,640,
2015,Washington,5,Toyota Camry,1989,602,
2015,Washington,6,Subaru Legacy,1996,599,
2015,Washington,7,Chevrolet Pickup (Full Size),1999,562,
2015,Washington,8,Jeep Cherokee/Grand Cherokee,1994,362,
2015,Washington,9,Toyota Corolla,2010,332,
2015,Washington,10,Nissan Sentra,1997,296,
2015,West Virginia,1,Ford Pickup (Full Size),2003,87,
2015,West Virginia,2,Chevrolet Pickup (Full Size),2000,76,
2015,West Virginia,3,Jeep Cherokee/Grand Cherokee,1996,36,
2015,West Virginia,4,Dodge Pickup (Full Size),2003,29,
2015,West Virginia,4,Chevrolet Pickup (Small Size),1999,29,
2015,West Virginia,5,Chevrolet Impala,2006,24,
2015,West Virginia,6,Toyota Camry,2014,20,
2015,West Virginia,7,Ford Taurus,1995,19,
2015,West Virginia,8,GMC Pickup (Full Size),2011,18,
2015,West Virginia,9,Chevrolet Cavalier,2002,17,
2015,Wisconsin,1,Dodge Caravan,2002,"1,035",
2015,Wisconsin,2,Honda Civic,1998,470,
2015,Wisconsin,3,Honda Accord,1997,450,
2015,Wisconsin,4,Chrysler Town & Country,2002,313,
2015,Wisconsin,5,Chevrolet Impala,2007,232,
2015,Wisconsin,6,Dodge Stratus,2002,209,
2015,Wisconsin,7,Toyota Camry,2007,191,
2015,Wisconsin,8,Chevrolet Malibu,2015,179,
2015,Wisconsin,8,Dodge Intrepid,2002,179,
2015,Wisconsin,9,Honda CR-V,2000,172,
2015,Wyoming,1,Chevrolet Pickup (Full Size),2007,32,
2015,Wyoming,2,Ford Pickup (Full Size),2000,29,
